Ticker,bucket,ann. return,ann. vol,skew,ex. kurtosis,worst month,best month,max drawdown
SPY,equity,0.10594009999869791,0.15551873449188264,-0.5888431255531927,0.9707501047533693,-0.16518649265303875,0.12698370986213248,-0.5078484173480544
IWM,equity,0.0755693499018224,0.20667631191029645,-0.39578646349055574,1.0963782495745296,-0.2147707652707206,0.18244198273438728,-0.5155740971473413
QQQ,equity,0.1581971168459857,0.18675477686252193,-0.45492329924524466,0.4479244307174124,-0.15576262265769758,0.14973732610938595,-0.4973983605483533
EFA,equity,0.040997520336028215,0.17537222756720983,-0.4659758080678563,1.498503161623951,-0.20834812411168324,0.14269429321991822,-0.5737457256703757
EEM,equity,0.03407663730545418,0.20947408603616102,-0.2018006471747805,1.691875194463833,-0.25577989632562015,0.16862913295141202,-0.604253631137309
SHY,bond,0.018434738078519475,0.015336520795790853,0.46037948775649035,2.1694673985534365,-0.014018096890045406,0.01792867519815422,-0.053621078347846796
IEF,bond,0.03476913566499329,0.06751717895721432,0.16598791829868068,0.6998267496497252,-0.047350012364823946,0.07753786214114444,-0.23152631722513128
TLT,bond,0.03289585628169167,0.14250674839565,0.43111225812149007,1.1956846793205118,-0.1307086038078057,0.14341278690014891,-0.4761364770641927
TIP,bond,0.035556662430162644,0.058586047989577644,-0.5796121998365373,4.384228982267158,-0.08089531614665879,0.06503567098972907,-0.13914327614891697
LQD,bond,0.04314966479146998,0.08343631098999621,0.20029755873921956,6.135864446550441,-0.10730491068310422,0.1381434516068034,-0.2326497307972044
HYG,bond,0.05133268040310157,0.1037030087466317,0.28745521721659506,7.6845827904374175,-0.11450058463981971,0.16766159424742266,-0.3024405997277747
AGG,bond,0.03165502186313307,0.046504073170206287,0.26472298383634935,2.982085203165699,-0.04145045533328129,0.06662251138342201,-0.1713466901114824
GLD,alternative,0.1037138196627776,0.1701135291131777,-0.01925756434616374,0.2400121808486806,-0.1613965370422935,0.12786502259277088,-0.42910196720923
DBC,alternative,0.004401710200565345,0.186670495800403,-0.6774045540175289,2.1415137830795192,-0.25081136711877106,0.1626627251673689,-0.7455254682738144
VNQ,alternative,0.05564326705668732,0.2238913344728243,-0.5931932006421382,5.299527140897382,-0.31726950491008765,0.306837469434428,-0.6463275701992779
BIL,alternative,0.012857774430260038,0.0054992444618414725,1.0190447133588942,-0.24539133903306354,-0.0023250246547381614,0.005083116054937387,-0.00420720424126142
